ប្រដែ: brodae
កន្ទាលត្រអាក: kontealtroak
ប៉ើកៗ: baeuk
អរ: rrrr
ឡាយឡុង: lailong
ទ្វិបថ: tviboth
ទុល្លភ: tulloph
ស្រលើ: srolau
នំពុម្ព: nom pom
កង្វល់: kongvol
តំបន់: domborn
និសា: nisa
ភាគិនេយ្យ: phiekineyy
ម្ល៉េះ: mleh
អសង្ខៃយ: aosongkheyy
ទិដ្ឋភាព: titpheap
ប្រមូរ: bramur
រលូត: rolut
អចិត្តកៈ: aochettokak
វិសូចិកា: visoucheka
ជិណ្ណកាយ: chinnokay
ពើប: paub
ស្លាប: slarb
អធិជ្យោតិស: aathichyoutes
កំនៀរ: kamnier
ហោចល្អោញ: hochl'aounh
ញាំ: nham
ទឡ្ហីកម្ម: tolheikamm
កក្រើក: korkrerk
ពោជ្ឈង្គ: pouchchhongkor
បន្លឺ: banlueu
បាត្រ: batror
ផ្អែបៗ: phaaeb
ត្រែតត្រត: traettrot
រិញៗ: rinh
នោប: noub
ឯកឧកញ៉ា: ekukanha
ផ្កាឈូក: pkarchuk
រំលើង: romlerng
សារាណីយ: sareaneiy
តឿន: toean
ផាតិកម្ម: phatekomm
វចនា: vochonea
ស្លឹក: sloek
ស្រោកទឹក: sraokotuek
ន័រវេស: Norway
សង្ឃា: sangkhea
ភ្លូក: phluk
ធរណីដងគោម: thoroneidongkoum
កម្ចាត់: kamjat
រត់យួន: rotoyoun
អព្យាកត: aopyeakot
ជើត: chaut
ស្ងួត: snguot
ថេរី: theri
អាចរិយ: aachariy
ស៊យ: say
អមត្តញ្ញូ: aamottanhnhu
ក្ងិចក្ងក់: kngechkngak
ប៉ផង់: bophong
អាកប្ប: aakobb
របាំ: robam
ហោត្រ: haotror
បរិមាណ: borimean
មេសូត្រ: mesoutrar
មាក់ប៉ែន: meakapaen
ទុតិយសង្គាយនា: tuteysangkeayonea
ត្បូងឃ្មុំ: tboungkhmuum
បច្ឆិមជាតិ: bachchhemcheate
ធ្លាក់: tlek
ពោធិបក្ខិយធម៌: pouthibkkheyothomr
បង្កើច: bongkauch
កប់: kob
លំបាក: lumbak
អគ្នន្យុត្បាត: aaknonyutbat
ពៃស្រពណ៍: peysrapon
ភូមោ: phumo
បទសមាស: batosameas
សែងព្រះអាទិត្យ: saengpreahaatityar
ឈ្មោះ: chhmous
កញ្ញា: kanha
ប្រពូន: bropun
រំហូរ: romhour
ជម្នះ: jumneas
រួប: roub
កំហុល: kamhol
ក្រឹស: kroes
ស្មាច់ដោម: smachadaom
ពែង: peaeng
ម្យីម្យ៉: myimy
ច្រេស: chres
គិល: kil
ខ្ទាត: khtat
ការបញ្ឈប់: karbanhchhob
អសទិសទាន: aosotisotean
ភេសជ្ជ: phesachch
ហលាហល: haleahal
ហ៊‌ីងហ៊ាង: heingheang
បដិកូល: bodekoul
ថេយ្យសំវាសកៈ: theyysamveasakak
ពុកបង្កង: pukbongkong
អំពៅព្រៃ: aampovprey
បរមិន្ទ: boromintor
ជាតិលិង្គ: cheatelingk
ហុយ: hoy
ជ្រៀង: chrieng
ប៉ក: bak
ម្ហែបម្ហប: mhaebmhob
បន្ត: bantor
សៀម: siem
រនោច: ronouch
ហារិនី: harini
បួស: bous
ក្រញាំ: kronhoam
រមណី: romonei
ពង្រូង: pongrung
បរិភោក្ដា: bariphoukda
ខាល់: khal
ប្រមុម: bromum
ទន្លេបាទី: tonlebati
ហុរៗ: hol
រាជ: reach
អស្រី: aasrei
រាសិចក្រ: reasechakrar
ចម្អាប: chomaeab
សម្រិល: samril
ចម្កយ: chamkoy
ប៉ោ: bao
ព្យាបាទ: pyeabat
លម្បដ: lombod
អញ្ញត្រ: aanhnhotrar
វីវែក: viveaek
វិម្ហយៈ: vimhoyeak
ឱកាសល្អ: okaslaor
អភិក្រម: aaphikram
កង្កួញ: kangkuonh
ហិមពាន្ត: hirmapien
ស្ងៀម: sngeam
រជ្ជូបការ: rachchubokar
រោបន: roubon
មហន្ត: mohontor
រានហាល: reanohal
ចំអែចំអន់: chamaaechamaan
ហិនហុន: henhun
ស្រពោន: sropoun
ភ្នែល: phneael
ហ្ន័ង: nang
មហារាស្ត្រី: mohareastrei
ស្អក: s'aok
អាគតដ្ឋាន: aaktodthan
ពិសុទ្ធិ: pisotthi
ទ្រនំលលក: tronumlolok
រឡិបរឡប់: rolebrolob
របត់: robot
វេស្សវ័ណ: vessovoan
គ្រប់: khub
ឧជុ: uchu
អង្គំ: aangkum
កណ្ឌ: kondor
ប្រភាត: bropheat
ប៉ាចរហាច: bachrohach
ឫក្ស: ryksor
ប្រោក: braok
រងទុក្ខ: rongotukkhar
វិស្សាសិកា: vissaseka
ប្រសើរ: broser
ប្រឡូញ: bralunh
លំអន់: lumaan
ហេតុបច្ច័យ: haetpachchai
សត្យ: satyar
ឈ្លើយ: chhlauy
ក្រហេង: kroheng
ចតុរស្ស: chotoross
ស្រទប: srotob
វេទិកា: vetika
ព្រះនាង: preahneang
អព្វុទ: aopvut
ពីផាត: piphat
សីស្ហែល: Seychelles
បញ្ចើច: bonhchauch
សម្ភវរាគ: somphovoreak
រង៉ាប់រងើ: rongabarongau
លាសក: leasok
ឃាតកៈ: kheatokak
ប្រុយ: broy
ឡូឡា: loula
រពុយ: ropuy
ថ្កៀប: thkieb
ប៉ុនអម្បាល: bonaombeal
ជៀបកប្បាស: chiebkabbas
ខៀន: khien
មហេសក្ខ: mohesokkhor
កោដ្ឋ: kaodth
ក្រណាត់: kronat
ឧបនិធិ: ubonithi
មាតលី: meatoli
ល្វៃ: lvey
តីរវិថី: teirvithei
និទ្ទេសវារៈ: nittesveareak
ប្រព្រឹត្តិ: brapruette
ក្រែក: kraek
កណ្ដៀតក្អម: kondietkaom
ចាញ់: chanh
អចិរ: aocher
ជំហោង: chumhaong
អាំងយី: aangyi
បង្កាត់: bongkeat
អធិដ្ឋាន: aathidthan
សុភ: sopheak
អញ្ញាត: aanhnheat
បរិភោគប័ណ្ណ: boriphoukboann
ស្នេហា: snaeha
គន្លិកគន្លាក់: konlikkonleak
ប្រហិត: brahet
អឺបឡឺប: aeuboleub
ច្រឡំ: chrolam
ប្រមេះ: brameh
ទុក: tuk
ចត់: chat
អនុរដ្ឋមន្ត្រី: aanurdthamontri
ឆ្មប: chhmob
បកតិ: bakate
ទីម័រខាងកើត: East Timor
មធុ: mothu
វរ្ម័ន: vormoan
រជ្ជូបករណ៍: rochchubkaron
មនោសិលា: monouselea
ច្រឡឹង: chroloeng
គ្រលៀស: krolies
ស្បថ: sbath
ដួចដល់: duochdol
គជទន្ត: kochoton
ឱបក្កមិកាពាធ: aobakkamikapeath
តាច: tach
សត: sot
រឡឺម: roleum
កិត្យានុភាព: ketyanupheap
ហួងហែន: huonghaen
បសំសា: basamsa
គួរ: kuor
សន្មត: sonmot
ហិរិ: heri
រំខាន: romkan
ផ្កាឈូក: phkachuk
ឡាចៅ: lajau
ភណ្ឌាគារិក: phondakearik
ហេតុបច្ច័យ: hetpachjai
បាយម៉ាត: baymeat
កោសុម: kaosom
ផលិតផល: phalitaphal
សេនាសន: seneasan
ឃរាវាស: khoreaveas
ភិន្នោទរ: phinnoutor
ប្លិច: blech
សៃយ: saiy
មច្ឆជាតិ: mochchhacheat
ស្រិម: srem
ក្រអួន: kraauon
រោហិត: rouhet
បង្អោត: bongaout
ទំនាន់: tumnean
ល្វីង: lving
យក: yr
ធេង: theng
អ៊ុង៉ាៗ: aonga
ទើតទើង: tautterng
ពោត: pout
សង្គហៈ: songkohak
ស្លាឈ្មោល: slachhmol
បឋវី: bathavi
អារក្ស: aaroksar
គ្រូបង្វឹក: krubangverk
កុដិ: kode
បញ្ចពណ៌: bonhchoponr
ព័ន្ធមូល: poanthomul
ពុទ្ធិចរិត: putthicharit
អាពាហ៍ពិពាហ៍: aapeahapipeah
អាបុច្ឆា: aabochchha
អប្បិច្ឆា: aabbechchha
សម្ងាច: somngeach
មេសូត្រ: mesoutror
ផ្ដាច់: pdach
ញញិម: nhonhim
មហោស្រព: mohaosrop
ទ្រោម: troum
កំបុត: kombot
រឹតបន្តឹង: ruetbantueng
ទិដ្ឋធម៌: tidthothomr
វិក្កយិក: vikkayik
ហ្មត់ចត់: motchort
លំចង់: lomchong
មេរ័យ: merey
សក្លាត: soklat
សោក: sork
ប្រណម: bronom
សកម្មជន: sakammochon
ព្រះអាទិត្យ: preahaatirt
លិក្ខា: likkha
ក្រទែ: kroteae
រវីស: rovis
នែបនិត្យ: neaebnityar
អយសង្ខលិក: aoyosongkholik
ឈើទាលត្រាញ់: chhautealtranh
រម្អិល: romail
អយុទ្ធ: aoyutthor
ខ្ចោប: khchaob
ម្ចាស់ផែនដី: mcheasophaenodei
បូល: boul
ប្លូច: ploch
លង់លុះ: longoluh
ភ្ងារ: phngear
ប្រវេណី: bravenei
ភិក្ខវោ: phikkhavou
គាត់: kort
ប្អ៊ឹះ: baoeah
ត្រយូង: trayung
ប្រាឃាត: brakheat
កូនប្រយោល: konbrayoul
កូវីដ: covid
តួឯក: tuoek
ឆ្អែង: chhaaeng
អបាចី: aabachei
ហិនហុន: heunhun
បង្ហែប: bangheaeb
ពេមពើម: pemopaum
ក្រទី: krati
កំផែង: komphaeng
វិបស្សនាបញ្ញា: vibssaneabnhnhea
លោកេស្វរៈ: loukesvareak
ខ្ចរ: khchar
ហសនោ: hasanu
អង្គាលឿង: aangkealoeang
ចិក: chek
អច្ឆិទ្ទវុត្តី: aachchhettvuttei
វិត្តៈ: vittak
កកែងកកោង: korlkaengkorkoang
ស្ថាបនិកា: sthabnika
ប៉ប្រេវ: bobrev
រម្ហើយ: romhauy
មូត្រ: mutror
ហាយន: hayon
សុីលី: Chile
វាត: veat
រេរង់: rerong
កិច្ចសហការ: kechsohakar
កុណ្ឌល: kondol
បំបែក: bombaek
ទ្រុឌ: trud
អរភិតភ័យ: aarophitaphey
ចុច: chuch
កំប្លង់: komblang
កន្សៃសារពេជ្ញ: kanseysarrorpech
ប្រយូរ: broyur
យាង: yeang
តយ: toy
សារថី: sarothei
សមាជិក: smajerk
ស្ប៉ត: spat
សមោសរ: somousor
យាណូវ: yanouv
បន្ទាន់: bontorn
ព្រៃអង្គរ: preyaangkor
កំណក: komnok
គណនេយ្យ: kononeyy
ដឹកនាំ: dirknorm
អនរិយ: aanoriy
ខ្នង: khnorng
អាឌម្ពរ: aadmpor
ផ្ទញ់: phtanh
អស់លោក: aosolouk
រោលរាល: rouloreal
មានះ: meaneah
ទូទុក្ខ: toutok
ពង្រាក់: pongreak
រំអែង: rumaaeng
កកិចកកុច: kokechkokoch
បុគ្គលិកទាន: bokklikatean
ចរ: chor
អេឡិចត្រូនិក: electronik
អគតិ: aakote
វាហនសត្វ: veahnosatvar
អង្កួញដី: aongkuonhodei
រំងើក: rumngauk
មូស: mus
រាត្រី: reatrey
តម្រាស់: tamreas
គណៈកម្មាធិការ: konakkommeathikar
ពួច: pouch
ហត្ថិគោបិកា: hothekobeka
រម្ហូត: romhot
រចេចរចាច: rochechrochach
កុលធីតា: kolthida
សហសា: sohosa
ទៈបាន: teakban
ថ្ពូត: thpout
ប្រពន្ធ: prapun
ប្រផ្នូល: braphnoul
គម្រិងគម្រាំង: komringkomrang
ផ្កាកម្រង: phkakormrorng
អើពើ: aaeupau
ស្លឹករឹត: sloekoruet
ហន្ទយុំ: hantoyum
អាចម៍រុយ: aachmoruy
ស្រកី: srokey
ស្រឡឺកឺ: sroleukeu
ក្រញុល: kronhul
ចលនវត្ថុ: chalonovottho
ចលនវត្ថុ: cholonovottho
ភវតណ្ហា: phovotonha
ឩកា: uuka
លក្ខ: lek
ឧទរ: utor
ព្រះហស្ត: preahhostor
សម្លាក: somleak
សង្ឃការី: songkhokari
ដំណេក: damnek
ឆែក: chhaek
ន្រាយ: nreay
ខិម: khem
បង្សុកូល: bangsukoul
ពំនៀរ: pumnea
ច្បូក: chbouk
ប្រេតលោក: bretalouk
ហ្វឹកហ្វឺន: voekveun
និយោជក: niyouchok
សលាក: soleak
ក្ងេះ: kngeh
តតេងតតាង: totengtotang
ធ្លា: thlea
រាហុ៍: reaho
ត្រកៀត: trakiet
អនុបវាទី: aanubveati
សន្ធឹក: sonthuek
អង្កាល់: aongkeal
បង្ហប: banghob
ហហ្មុក: hahmok
ទឹកហូរ: tuekhour
អ៊ីស្រាអែល: Israel
អវសរ: aavosar
អញាតកជន: aanheatakachon
ថង់រង: thongrong
ស្ទោក: staok
ត្រដោកក្ដារ: tradaokkdar
ទារាធីន: teareathin
របឹប: roboeb
ម៉ៅ: mov
មាលសាលា: mealsala
ប្រជួន: brochuon
ហត្ថិគោបក: hatthekoubakak
សាល: sal
ហេតុភេទ: haetphet
បរម្បរា: boromborea
រញ៉េះរញ៉ោះ: ronhehronhaoh
ត្រឈៃ: trachhey
សម្រេះ: samreh
រដ្ឋការ: rodthakar
បរិវាសកម្ម: boriveaskomm
ភោជន: phouchon
រនាល: roneal
ពោធិ៍សាត់: pursat
ចៅកូវ: chaukouv
គ្រលៀវ: kroliev
កកោះ: korkoh
គ្រមាម: kromeam
មុទុតា: mututa
ត្រលុច: traluch
កំហោក: kamhaok
គគ្រួប: kokruob
សម្បទាន: sambotean
ស្រាបៀ: srabea
អ៊ូងព្រនូង: aoungpronung
កន្លេង: konleng
ជីដូន: chidoun
យោបំ: youbam
លទ្ធភាព: litpheap
រវ៉ើក: roverk
មេធា: methea
សិវិកា: sevika
ភ្នែកគោរ: phneaekokor
រកគ្នា: rokoknea
ទឹកម្ទេស: tuekmtes
ល្អាង: laeang
សង្គតិ: songkote
ភ្នាល់: phneal
ខ្ញែកខ្ញក: khnhaekkhnhok
ផ្សាំង: phsang
វិលាល័យ: vilealey
អន្តរការណ៍: aantorokaron
អ្នកយកការណ៍: anakayokakaron
រង្កៀក: rongkiek
ខាន់ខៅ: khankhau
នគររាជជាតិ: nokorreachcheat
ការប្រើប្រាស់: karbrerbras
ឯករាជ្យ: ekoreachyor
អប្រមាថ: aobromeath
រឿង: rueng
ប្រសើរ: braser
ព្រើម: praum
ងេកងោក: ngekngouk
អធិរោហិណី: aathirouhenei
សំ: som
ទន្ទិញ: tontinh
ចតុព្ភូត: chotopphut
អា: aa
រជក: rochok
កំណក: kamnok
បាយបៀង: bayobieng
តំណាងរាស្ត្រ: tamnangreas
បួន: buon
ឯកជន: ekochon
ខំរៀន: khamrien
អស្សុពាហ៍: aassopeah
បន្ទោបង់: bantoubang
ចរិយា: choriya
ប៉ៃ: bai
រោគិនី: roukini
ចរិត: jakrit
វិសភាគ: visapheak
បង: bong
សំណំ: samnam
កញ្ចាំង: konhchang
ឆ្នាល់មាន់: chhnalmean
អភិសម័យ: aaphisamey
សន្តិភាព: sontipheap
បច្ច័យ: bachchai
ស្រលាញ់: srolanh
ឈ្មួញ: chhmuonh
នរោត្តម: norouttom
បន្ទាយឆ្មារ: bonteaychhmar
ក្របី: krobei
អនាគាមី: aoneakeami
ចតុរមុខ: chotoromuk
ម្ចាក់: mjeak
ចលាចល: cholachol
ទិដ្ឋិសម្បត្តិ: tidthesombat
សំស្ក្រឹត: samskroet
នៅកន្លែង: novkonleaeng
ដាំង: dang
ឈើកង់: chhaukang
ជឿន: choean
កម្ចាយ: komchay
ស៊ុលគឃុល: solkokhul
ធ្មៃ: thmey
ពពែភ្នែក: popaepnek
ផែះ: phaeh
ពន់: pun
ចាប់ដក: chabdok
ទន្តកម្ម: tondkamm
របុកជាស: robokocheas
អាសាឍ: aasath
កបិលវត្ថុ: kabelvottho
បៀក: biek
ស្រេក: srek
ប្រផាត់: brophat
បង់ចំទាញ: bongchamteanh
រុងរាំង: rungreang
ប្រចណ្ឌ: brachandar
លុន: lun
អដ្ឋ: aodthor
ពង្រាត់: pongrort
សំបារ: sambar
ចំឡើយ: chamlaeuy
ភាពយន្ត: pheapyontor
អង្វរករ: aongvorokor
ល្បាក់ទឹក: lbeakotuek
យីហ៊ុន: yihun
ច្រឹកៗ: chroek
សុករ: sokor
អដ្ឋបរិក្ខារ: aadthabarikkhar
កំណាព្យ: komnap
ដោយសារ: doysa
ហ្ន: hnor
រនេល: ronel
ក្បៀស: kbies
ខោអាវ: khaoav
អនុបាទិសេសនិព្វាន: aonubatisesnipvean
ចង្គ្រុង: changkrung
កន្ទុយលឹន: kontuyluen
ហៀវ: heav
បន្សាំ: bansoam
អយ្យការ: aoyyokar
ចង្គ្រាស់: chongkreas
ហ្ន៎ះ: hnah
បណ្ឌិតមានះ: bondetmeaneah
សុរិន្ទខ្នងភ្នំ: sorintkhnangophnum
ហេមវ័ន្ត: haemavaon
ប្រតប់: bratab
នឹង: nung
ស្រខក់: srakhak
ភូមី: phumi
ខ្ញុង: khnhong
ឆោង: chhaong
បង្ហិល: bonghil
ប្រដក់: brodok
បេះបួយ: behbuoy
រន្ធគវេសិនី: ronthokoveseni
បំប្លោង: bamblaong
សទ្ធម្ម: satthomm
វិក្រោស: vikraos
រុល: rul
ខ្នាច់: khnach
កណ្ដៀវ: kandiev
ប្រយោគ: broyouk
ប្រាប់: prab
បាយសិង្ឃាដក៍: baysengkheadok
សន្ធារណៈ: santhearonak
វិរូឡ្ហក: virulhak
សកវាទ៍: sakaveat
សមណុត្តមាភិសេក: samonottmeaphisek
សិក្ខមានា: sekkhmeanea
ប៉ក: bok
បរិភោគ: boriphouk
កណ្ដាស់: kandas
រីត: rit
កក្អិច: kok'aech
សង្គ្រះ: sangkreah
ប៉ប្រិម: bobrem
ពទ្ធសីមា: pottseymea
អនុស្សាវនក: aonussavonok
ចង្ហាន់: chonghan
អាចម៍សេះ: aachmoseh
សន្យាសភាព: sonyeasopheap
បដិសម្ភិទា: bodesmphitea
ចង្វាយ: changveay
ស្ម៊ោកគ្រោក: smaokkrouk
ឡុងបុត: longbut
វង់ព្រះអាទិត្យ: vongopreahaatityar
កញ្ជនជៃ: konhchonchey
ដង្គោល: dongkoul
ចហាង: chahang
ដណ្ដប់: dondob
សម្នាម: samneam
អាពាធិក: aapeathik
អក្ខរកោវិទ: aakkharokaovit
រោល: roul
ប្រិតប្រៀប: brinbron
បាមោជ្ជ: bamouchch
ផ្គត់: pkort
សំណុំ: samnoam
ស្តង់: stong
កង្វេរ: kongver
អយោ: aoyou
រលុះ: roluh
សំណុះ: samnoh
ចាក់: jak
ហាយនៈ: hayorneak
ធាត់: theat
រងើម: rongerm
វិភាវី: vipheavi
ហាសនីយ: hasaney
សើវ៉ើ: saeuvaeu
អនាស្រព: aoneasrop
មកពី: mokapi
ទឡ្ហីករណៈ: tolheikoronak
ប៉ប្លោញ: boblaonh
កន្ទះរា: kanteahrea
ផើង: pherng
ប្ដី: pdei
អវីតិក្កម: aavitekkam
ប៉ប៉ិនប៉ប៉ាន់: bapenbapan
ក្រឡាបញ្ជី: kralabanhchi
ដាល់អំបុក: dalaambok
បរមាភិធេយ្យ: boromeaphitheyy
ផាមួង: phamuong
វិះ: vis
សង្កោចន: songkouchon
ច្រឡុង: chralong
លាយទែង: leayoteaeng
ក្រពុល: krapul
ស្វីក្រឹតិ: sveykrirt
អបចាយន: aabachayon
រេចនកម្ម: rechnokomm
មហទ្ធន: mohatthon
ប្រដៅ: brodav
ខានស្អែកមួយ: khansaekmuoy
ក្រញុញ: kranhunh
ចុង: chong
ដំណើរការ: damnaeurkar
អាបុច្ឆន: aabochchhan
ទុក្កដ: tukkod
ដងភ្នំ: dangphnum
វាសាគារ: veasakear
ស្រីម័ត: sreimoat
ជើងឯក: chaungok
ស្លូវ៉ាគី: Slovakia
ក្រយាស្ងោយ: kroyasngaoy
សន្លឹក: slerk
ជាត: cheat
អ៊ុត: aot
ជហ្វា: chohva
ទិដ្ឋធម្មិកប្រយោជន៍: tidththommikbroyouchon
គណបក្ស: konabak
ច្នៃ: jnai
ក្បាលក្រពើ: kbalkrapau
កម្មវិធី: kamvithi
វិឃាតភាព: vikheatopheap
សំបា: samba
ចំក្បាល: chamkbal
ដងដឹង: dongdoeng
ឧបចារ: ubachar
ប៉ុណ្ណឹង: bonnoeng
ហ្មត់: hmot
ព្រក: prok
ផ្ងាក: phngak
រចល់: rochal
ស្វាធ្យាយិន: svathyeayin
តាំងនៅ: tangnov
កិត: ket
គ្រេច: krech
ប្រកាស: brokas
កំហើច: komhaeuch
ជ្រីវ: chriv
ក្សេត្រារក្ស: ksetraroksor
ស្វាក់: svakk
ពនាស័យ: poneasai
តំណែង: domneng
រាក: reak
គឺ: keu
ឧបោសថិក: ubaosothek
ហ៊ស: has
សមាន: somean
កច្ចាយនៈ: kochjayoneak
សហការ: sahakar
ទះ: teah
លោកា: louka
ឧល្លោកនៈ: ulloukoneak
ព្រឹទ្ធសភា: pruetthosaphea
មរណៈ: moronak
ជីវិត: chivit
កន្ទន់បាក់ក: kantonbakkor
ហេមវតី: hemvotei
គ្នី: kni
ស្យា: sya
អហំការ: aahamkar
ប្រយ័ត្ន: pyat
ចៅចម: chauchom
កំញាន: komnhean
មាត្រាទណ្ឌ: meatratondar
ប្រចឹក: brochoek
ព្យោម: pyoum
រស្សសព្ទ: rossosoptor
មមឹះ: momueeah
សុយម៉ុយ: soymuy
លំពែងស្នែងក្របី: lompaengsnaengkrobei
ប្រែប្រួល: braebroul
សម្ដេច: samdech
អំប៉េះអំប៉ោះ: aampehaampaoh
កំណួច: komnuoch
ស្រគំ: srokum
វិជយិន: vichoyin
ពភ្លាក់ពភ្លើក: pophleakpphlauk
អមគម: aomokom
រំលោង: romloung
ជួយ: jouy
សង្ហរ: songhor
ទារុណកម្ម: tearunkamm
មាត្រ: meatror
បត្តបិណ្ឌិកង្គៈ: battabendekngkeak
ផ្តេតៗ: phtet
អាសូត: aasout
រត្នាករ: rotnakor
ជើងព្រៃ: chaungprey
មហិស្សរៈ: mohessoreak
ឆក់: chhok
បំបែន: bambaen
កញ្ជប់: konhjob
ជាត់: cheat
កុញ្ជរាធិបតី: konhjorreathibdey
លះបង់: leahbong
ជម្ពូនុទ: chompunut
ពលករ: polokar
នារីរត្ន: nearirotnar
ជុះ: chuh
អសេក្ខ: aosekkhor
កើលប្រើស: kerlbrus
បាហាម៉ាស: Bahamas
អន្ត្រុក: aantruk
បំភាន់: bamphean
ច្បាស់លាស់: chbasleas
យល់សប្ត: yolosabtar
ង៉ិកង៉ក់: ngikngok
កើង: kaeung
ស្វាយ: svay
ភ្ងាប្រិយ: phngeabrei
ក្រពុលបាយ: krapulbay
វិញ្ញាបនបត្រ: vinhnheabnobotror
បិត: bet
បង្វិល: bongvil
ចង្កា: chongkea
ភ្នំស្រួច: phnomsruoch
ឧរច្ឆ័ទ: urochchhoat
ស្រកេក: srokek
ហ៊ឺហា: heuha
ព្រាក: preak
អង្គឺ: aangkueu
បីដូច: beidouch
លាយនកម្ម: leaynokomm
អង្គការ: aongkokar
ញ៉ែងញ៉ង: nheaengnhong
កូនកណ្ដុរ: konkondol
ឧបដ្ឋាក: ubadthak
ស្រប៉ើក: srapaeuk
កន្តុញ: kontunh
ច្រឡូក: chrolouk
គឃូស: kokhus
វត្ស: votsor
កន្ធាត់: kanthat
ខ្ជេញ: khchenh
ឆ្ការ: chhkar
តម្កាត់: tomkeat
សម្បុដ: sambud
កលហប្បវឌ្ឍនី: kolohobbovodthoni
ប្រលែង: brolaeng
សីលព្វ័ត: seilpvoat
ប៉ៃ: bai
ទក្ខិណេយ្យសម្បទា: tokkheneyysombotea
ឧបរិម: uborim
មឹក: muek
រតោង: rotaong
ទូរដ្ឋាន: turdthan
រហទប្បទេស: rohatobbates
ចង្ក្រត់: changkrot
អវសិដ្ឋ: aovosedthor
ហែហម: hehom
សេទោ: setou
អភិញ្ញាណ: aaphinhnhean
រសាប់រសាយ: rosabarosay
ដកចន្ទន៍: dakchant
បន្ថែ: bontheae
ត្រសង: trasang
ចៀស: cheas
ផ្លួត: phluot
ចម្រើន: chomrern
ខ្ញាល់: khnhal
អង្កុញ: aangkunh
ប្រទើស: brotaus
កក្អិច: kok'ech
កុញ្ជរ: konhjor
អត្តខាត់: aottokhat
បច្ឆាបរិចារកិច្ច: bachchhabricharkechch
ស្ពាយ: spay
ស្មោកគ្រោក: smaokkrouk
ចត្រង្គ: chatrangkor
ជំរាប: chumreab
វែកញែក: veaekonheaek
ចំណាស់: jomnas
ចតុប្បច្ច័យ: chotobbachai
តតិបតតុប: totebtotob
ចាក់ស្រេះ: chaksreh
ផួយ: phuoy
ច្រកល្ហក: chroklhok
លេខនី: lekhoni
រយៈ: r'yeak
វាយ: vai
រមួលក្រពើ: romuolkraper
ឆរ: chhor
កំណិន: komnen
ស្វាហៈ: svahak
ភ្នើន: phnaun
មហន្ធការ: mohonthokar
អនុញ្ញាត: anunhat
ធុង: thung
ឥន្ទវជិរច្ឆន្ទ: intovochirchchhontor
សុទ្ធោទនៈ: sotthoutoneak
ប្រជៀវ: brachiev
កណ្ដាប់ដៃ: kondabdai
លំទោន: lomtoun
ហាង: hang
យូរប៉ុន្មាន: yubonman
ខ្វល់: kvol
ប៊ូតាន: Bhutan
អប្បសាន្ត: aobbosantor
បន្តោង: bantoung
ឡើងចាង: lerngjang
ស្រុក: srok
សាស្ត្រាទេសន៍: sastratesan
ក្បាំង: kbang
សម្ពាហក: sampeahak
កញ្ជាក់ស្លា: konhjeaksla
អសុន្ទរ: aasontor
សន្ទូច: santuch
បរមាភិសម្ពោធិ: boromeaphismpouthi
ស្រទៀក: sratiek
របទិម: robatim
ការប្រែប្រួល: karpreproul
ឋានានុក្រម: thaneanukrom
រំលេះ: rumleh
ល្មាំង: lmeang
កុំ: Pong
សុញ្ញ: sonhnh
បញ្ជោរ: bonhchour
ណែនាំ: naenoam
អរភិតភ័យ: aorophitophey
បន្ថែ: bantheae
ស្ដេច: sdech
ទន់ដី: tonodei
បង្ខូច: bongkhuch
ចំណត់: chamnat
អង់គ្លេស: aangokles
ឆ្មា: chhma
មាតុឃាត: meatokheat
សម្មតិលិង្គ: sommotelingkor
លក្ខណ៍: lokkhon
មជ្ឈមណ្ឌល: mochchhomondal
ម៉ូត: mot
ឆាយាធរ: chhayathor
លេណដ្ឋាន: lendthan
ក្រញុញ: kronhunh
ក្រាប់: krab
បាឋកថា: bathakatha
សាល់: sal
ឡប់ៗ: lop
វិចារកៈ: vicharokak
ស្លាក: slark
រំពុះ: rumpuh
សក់ស្វាយ: sokosvay
គម្រោង: komrong
ពេទ្យមន្ទីរ: petmontir
ត្រសាយ: trosay
ញញ័រ: nhonhoar
ភត្តការ: phottokar
ខ្មោច: khmaoch
លស់ព្រលឹង: lousprolirng
បរិសទ្យ: barisatyor
ឧត្សាហៈ: utsahak
ពន្លូក: ponluk
ពំនិត: pomnit
ប្រតិសន្ធិ: bratesnthi
បបក់: babak
ច្រាច់: chrach
តម្រាប់: tamreab
អាមេណ្ឌន: aamendan
គុម្ពោត: kumpout
បន្លំ: b’lom
តនយា: tanoyea
រំឭក: rumk
ជាតិភូមិ: cheatephum
ស្រជែត: srocheaet
ស្រស់បស់: srasabas
រើសអើង: rausaaaeung
មច្ឆានុ: mochchhanu
វ៉េ: ve
ត្រើយឆក: traeuychhok
ឡកឡាយ: loklay
អត្ថរស: aotthoros
គ្រំ: krum
ព្រលិង: proling
ស៊ីវិឡាត: seivilat
រជ្ជូបការ: rochchubakar
ផ្ដឺតៗ: phdeut
នាដកសាល: neadkosal
តិច: tic
កំពក: kompok
ប្រចែ: brachae
អន្តោ: aontou
ចំបង: chambang
ចរណាវុធ: charonavuth
ឧបត្ថម្ភក: ubotthomphok
បរទេស: borotes
បូតិលតា: boutelota
South: Korea
កំណល់: kamnal
ហង: horng
លេចឡើង: lecholaeung
កំផ្លៀង: komphlieng
ប្លប់: blob
កន្ទុយចចក: kontuychochork
ប្រលួតលាក់: braloutleak
